Task,Emotion 1,Emotion 2,Emotion 3
Try a yoga session for relaxation, Calm, Tiredness, Bored
Listen to a calming podcast episode, Calm, Anger, Tiredness
Try a new relaxation technique, Calm, Tiredness, Bored
Recite positive affirmations, Happy, Frustrated, Tiredness
Create a playlist of calming sounds, Calm, Anger, Tiredness
Try a meditation exercise for anger, Anger, Calm, Bored
Build a relaxation corner at home, Happy, Calm, Tiredness
Write a forgiveness letter, Sad, Anger, Calm
Do a gentle stretching routine, Calm, Tiredness, Bored
Try a nature soundscapes relaxation session, Calm, Tiredness, Bored
Organize a calming self-care evening, Happy, Calm, Tiredness
Listen to an anger management podcast, Anger, Calm, Bored
Write a reflective journal entry, Sad, Happy, Bored
Practice a relaxation breathing technique, Calm, Tiredness, Bored
Cook or bake a comforting dish, Happy, Sad, Bored
Try a calming scent diffuser, Calm, Tiredness, Bored
Create a mood-lifting art piece, Happy, Frustrated, Bored
Listen to a calming audiobook, Calm, Tiredness, Bored
Try a therapeutic coloring book, Happy, Frustrated, Tiredness
Write a gratitude list, Happy, Calm, Bored
Engage in a calming skincare routine, Happy, Calm, Tiredness
Try a peaceful nighttime ritual, Happy, Calm, Tiredness
Practice gentle bedtime yoga, Calm, Tiredness, Bored
